yearSeason,slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationxoriginal,locationY,locationYoriginal,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2020,2022-23,1610612749,1626192,Shot Chart Detail,Pat Connaughton,Milwaukee Bucks,Missed Shot,Putback Layup Shot,2PT Field Goal,20230330,MIL,BOS,22201146,460,3,2,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,34,0,TRUE,FALSE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20230402,MIL,PHI,22201174,122,1,1,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,19,0,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20230404,WAS,MIL,22201179,141,1,3,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,16,0,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20230404,WAS,MIL,22201179,527,3,1,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,16,0,TRUE,FALSE
2020,2022-23,1610612749,201950,Shot Chart Detail,Jrue Holiday,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20230405,MIL,CHI,22201193,208,2,6,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,4,0,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20230405,MIL,CHI,22201193,312,3,9,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,58,0,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Made Shot,Driving Layup Shot,2PT Field Goal,20230405,MIL,CHI,22201193,344,3,7,Restricted Area,Center,C,Less Than 8 ft.,-7,7,0,0,26,0,TRUE,TRUE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Tip Layup Shot,2PT Field Goal,20230405,MIL,CHI,22201193,355,3,6,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,57,0,TRUE,TRUE
2020,2022-23,1610612749,202083,Shot Chart Detail,Wesley Matthews,Milwaukee Bucks,Made Shot,Putback Layup Shot,2PT Field Goal,20230405,MIL,CHI,22201193,499,4,7,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,40,0,TRUE,TRUE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20230405,MIL,CHI,22201193,529,4,5,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,0,0,TRUE,FALSE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Putback Layup Shot,2PT Field Goal,20230405,MIL,CHI,22201193,573,4,2,Restricted Area,Center,C,Less Than 8 ft.,0,0,0,0,18,0,TRUE,FALSE
2020,2022-23,1610612749,203648,Shot Chart Detail,Thanasis Antetokounmpo,Milwaukee Bucks,Made Shot,Driving Dunk Shot,2PT Field Goal,20230407,MIL,MEM,22201208,170,2,11,Restricted Area,Center,C,Less Than 8 ft.,4,-4,0,0,33,0,TRUE,TRUE
2020,2022-23,1610612749,1628975,Shot Chart Detail,Jevon Carter,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20221028,MIL,NYK,22200075,73,1,7,Left Corner 3,Left Side,L,24+ ft.,238,-238,1,1,17,23,TRUE,FALSE
2020,2022-23,1610612749,1626171,Shot Chart Detail,Bobby Portis,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20221029,MIL,ATL,22200085,492,4,11,Right Corner 3,Right Side,R,24+ ft.,-233,233,1,1,14,23,TRUE,FALSE
2020,2022-23,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Putback Dunk Shot,2PT Field Goal,20221031,MIL,DET,22200100,237,2,6,Restricted Area,Center,C,Less Than 8 ft.,-4,4,1,1,14,0,TRUE,TRUE
